,행정동코드,일평균
251,11500603,48433.72885567928
252,11500604,15012.452077950999
253,11500605,11257.966312917591
254,11500611,34792.811578173714
255,11500615,35107.38361915367
256,11500620,34002.60699387527
257,11500630,32105.40531124721
258,11500640,23896.373541982175
259,11500641,17381.375847327392
260,11530510,32574.319341982176
261,11530520,17165.26009710467
262,11530530,32875.45525623608
263,11530540,38093.379147550106
264,11530550,17519.287635523382
265,11530560,30753.521141870813
266,11530595,11416.50991213808
267,11530720,21856.454835857454
268,11530730,17947.76253307349
269,11530740,29255.305819599103
270,11530750,24343.25991915367
271,11530760,16306.641526057903
272,11530770,15185.43843864142
273,11530780,51571.68659242761
274,11530790,22435.274089643644
275,11545510,55933.34196492204
276,11545610,34253.75251592427
277,11545620,15040.296647438749
278,11545630,20845.89373229398
279,11545640,11970.164653452113
280,11545670,27275.178285634738
281,11545680,16061.054649999996
282,11545690,10025.51262717149
283,11545700,12483.675543541198
284,11545710,12034.565100445432
285,11560515,18709.676166926496
286,11560535,49669.19900412026
287,11560540,81043.48574866368
288,11560550,23614.352440757233
289,11560560,35317.05370868596
290,11560585,14192.442443429842
291,11560605,39108.57411670378
292,11560610,18871.525082962133
293,11560620,28906.7813150334
294,11560630,17463.465219376387
295,11560650,13536.40258719376
296,11560660,7687.330804231626
297,11560670,6728.515172717149
298,11560680,23367.29629342984
299,11560690,14061.05049721603
300,11560700,17463.143438752777
301,11560710,17633.337692873047
302,11560720,24699.022201781732
303,11590510,35860.91400211581
304,11590520,17619.53113942093
305,11590530,43861.908393207115
306,11590540,22344.887761024493
307,11590550,18188.056268485518
308,11590560,23470.07039465478
309,11590605,30413.058421158123
310,11590620,25437.60206425389
311,11590630,30947.859762360797
312,11590640,19947.633132739415
313,11590650,13334.922767594651
314,11590651,11022.314312138082
315,11590660,41847.3295260579
316,11590670,16479.932250111353
317,11590680,23705.292724164803
318,11620525,17844.835831625827
319,11620545,9865.72766325167
320,11620565,23988.21068095768
321,11620575,24097.365831069033
322,11620585,22543.207591202667
323,11620595,38976.76238641425
324,11620605,27973.130183518926
325,11620615,17042.15160657015
326,11620625,24549.235081069033
327,11620630,22004.331808574607
328,11620645,22145.67539342984
329,11620655,16205.01219966592
330,11620665,17907.978077394204
331,11620685,21071.30816737193
332,11620695,27805.73999688195
333,11620715,11207.607582405342
334,11620725,26276.98698073496
335,11620735,30330.68746202672
336,11620745,21828.52066091313
337,11620765,22038.240718374156
338,11620775,18350.41122706013
339,11650510,31636.95684699331
340,11650520,40915.49142772828
341,11650530,64817.17427527839
342,11650531,40525.42870066814
343,11650540,33367.09273530066
344,11650550,7197.454505679286
345,11650560,31383.708295991084
346,11650570,16545.368657126943
347,11650580,20716.18246447661
348,11650581,41699.465753786186
349,11650590,20915.440059799548
350,11650600,21588.374230178168
351,11650610,20384.80623095768
352,11650620,18748.25017917594
353,11650621,25339.550268374158
354,11650651,50391.83927316258
355,11650652,36558.85257383073
356,11650660,24974.653052338526
357,11680510,34039.67538864142
358,11680521,41082.87742973273
359,11680531,40575.75914142538
360,11680545,40954.3177962138
361,11680565,43122.79281425389
362,11680580,35458.011132962136
363,11680590,37984.046067483294
364,11680600,28275.607535746098
365,11680610,48901.3550448775
366,11680630,37095.834594097985
367,11680640,96094.21667015587
368,11680650,51514.382361247204
369,11680655,35013.00243351892
370,11680656,30102.633087973267
371,11680660,8726.710822828507
372,11680670,21824.92601102449
373,11680690,15423.30585111358
374,11680700,45694.535504231615
375,11680720,25074.345007683736
376,11680730,17773.837303118034
377,11680740,15333.495442984406
378,11680750,23386.804769042308
379,11710510,15598.066365256118
380,11710520,37541.850748997764
381,11710531,12227.455767928726
382,11710532,15987.227591091309
383,11710540,13398.169134855229
384,11710550,16227.947046770596
385,11710561,19463.49001414253
386,11710562,32248.71132594654
387,11710566,17473.49114654788
388,11710570,37190.15113418707
389,11710580,30266.16921358574
390,11710590,19771.37519743875
391,11710600,34416.710136302885
392,11710610,31670.715208463243
393,11710620,38370.8017344098
394,11710631,27306.96171269487
395,11710632,28962.673553118035
396,11710641,20765.83107661469
397,11710642,38944.906737305115
398,11710646,33634.36296859688
399,11710647,38090.553775835186
400,11710650,33956.618744543426
401,11710670,32449.36853930957
402,11710680,38005.88747806236
403,11710690,19939.098163251663
404,11710710,36883.26927238307
405,11710720,9920.445863697101
406,11740515,44929.4483104677
407,11740520,36526.385630512246
408,11740530,28809.155062694874
409,11740540,16343.61675512249
410,11740550,25481.69638775055
411,11740560,17162.164750779502
412,11740570,30929.76000044543
413,11740580,13820.229318485519
414,11740590,14172.950541982178
415,11740600,38582.24489610245
416,11740610,45374.84932939866
417,11740620,29851.49831848552
418,11740640,24638.59837204899
419,11740650,25918.044399999995
420,11740660,27468.364994877502
421,11740685,50410.22029020044
422,11740690,5474.706923051224
423,11740700,26998.764716146987
